ticker,quarter_end,total_revenue,gross_profit,operating_income,net_income,ebitda,total_assets,total_debt,cash_and_equivalents,shareholders_equity,operating_cash_flow,free_cash_flow,capital_expenditures,gross_margin,operating_margin,net_margin,asset_turnover,debt_to_equity,operating_cf_margin,revenue_growth_qoq,net_income_growth_qoq
AAPL,2024-06-30,85777000000.0,39678000000.0,25352000000.0,21448000000.0,28202000000.0,331612000000.0,101304000000.0,25565000000.0,66708000000.0,28858000000.0,26707000000.0,,0.462571551814589,0.29555708406682446,0.25004371801298714,0.25866675512345755,1.5186184565569347,0.336430511675624,-0.09641841356789213,0.4554831704668838
AAPL,2024-09-30,94930000000.0,43879000000.0,29591000000.0,14736000000.0,32502000000.0,364980000000.0,106629000000.0,29943000000.0,56950000000.0,26811000000.0,23903000000.0,,0.4622247972190035,0.31171389444854103,0.15523016959865163,0.26009644364074747,1.872326602282704,0.28242915832718846,-0.23628318584070795,-0.5943848059454996
AAPL,2024-12-31,124300000000.0,58275000000.0,42832000000.0,36330000000.0,45912000000.0,344085000000.0,96799000000.0,30299000000.0,66758000000.0,29935000000.0,26995000000.0,,0.4688254223652454,0.34458567980691873,0.2922767497988737,0.361247947454844,1.4499985020521886,0.2408286403861625,0.30349521282731573,0.4661016949152542
AAPL,2025-03-31,95359000000.0,44867000000.0,29589000000.0,24780000000.0,32250000000.0,331233000000.0,98186000000.0,28162000000.0,66796000000.0,23952000000.0,20881000000.0,,0.47050619238876246,0.31029058610094484,0.25986010759341016,0.2878910011985521,1.4699383196598599,0.25117713063266184,0.014069079926836531,0.05743791072800205
AAPL,2025-06-30,94036000000.0,43718000000.0,28202000000.0,23434000000.0,31032000000.0,331495000000.0,101698000000.0,36269000000.0,65830000000.0,27867000000.0,24405000000.0,,0.4649070568718363,0.2999064188183249,0.24920243311072354,0.283672453581502,1.5448579674920249,0.29634395337955677,,
AMD,2023-12-31,,,,,,,,,,,,,,,,,,,,
AMD,2024-03-31,,,,,,,,,,,,,,,,,,,,
AMD,2024-06-30,5835000000.0,2864000000.0,269000000.0,265000000.0,1093000000.0,67886000000.0,2245000000.0,4113000000.0,56538000000.0,593000000.0,439000000.0,,0.4908311910882605,0.04610111396743787,0.04541559554413025,0.0859529210735645,0.039707807138561674,0.10162810625535561,-0.14430268367795865,-0.6562905317769131
AMD,2024-09-30,6819000000.0,3419000000.0,724000000.0,771000000.0,1598000000.0,69636000000.0,2238000000.0,3897000000.0,56985000000.0,628000000.0,496000000.0,,0.5013931661533949,0.1061739257955712,0.11306643202815662,0.09792348785111149,0.039273493024480126,0.09209561519284352,-0.10955863149647428,0.5995850622406639
AMD,2024-12-31,7658000000.0,3882000000.0,1057000000.0,482000000.0,1694000000.0,69226000000.0,2212000000.0,3787000000.0,57568000000.0,1299000000.0,1091000000.0,,0.5069208670671194,0.1380255941499086,0.06294071559153826,0.11062317626325369,0.03842412451361868,0.16962653434317054,0.029577843506318903,-0.32016925246826516
AMD,2025-03-31,7438000000.0,3736000000.0,806000000.0,709000000.0,1587000000.0,71550000000.0,4731000000.0,6049000000.0,57881000000.0,939000000.0,727000000.0,,0.5022855606345792,0.10836246302769562,0.0953213229362732,0.10395527603074772,0.08173666660907725,0.12624361387469749,-0.03214053350683149,-0.18692660550458715
AMD,2025-06-30,7685000000.0,3059000000.0,-134000000.0,872000000.0,721000000.0,74820000000.0,3886000000.0,4442000000.0,59665000000.0,2011000000.0,1729000000.0,,0.39804814573845154,-0.017436564736499675,0.11346779440468445,0.10271317829457365,0.06513031090253918,0.2616785946649317,,
AMZN,2024-06-30,147977000000.0,74192000000.0,14672000000.0,13485000000.0,27872000000.0,554818000000.0,132973000000.0,71178000000.0,236447000000.0,25281000000.0,7661000000.0,,0.501375213715645,0.09915054366556965,0.0911290268082202,0.26671268776427587,0.5623797299183326,0.17084411766693472,-0.06860653209715692,-0.1202374739039666
AMZN,2024-09-30,158877000000.0,77900000000.0,17411000000.0,15328000000.0,32082000000.0,584626000000.0,134692000000.0,75091000000.0,259151000000.0,25971000000.0,3351000000.0,,0.4903164082906903,0.1095879202150091,0.09647714898946984,0.27175835491408185,0.5197433156731018,0.16346607753167544,-0.15397354519894352,-0.23375324935012998
AMZN,2024-12-31,187792000000.0,88899000000.0,21203000000.0,20004000000.0,38550000000.0,624894000000.0,130900000000.0,78779000000.0,285970000000.0,45636000000.0,17802000000.0,,0.47339077276987307,0.1129068330919315,0.10652210956803272,0.30051816788127267,0.45774032241144175,0.24301354690295646,0.20637000777300263,0.16798038185321423
AMZN,2025-03-31,155667000000.0,78691000000.0,18405000000.0,17127000000.0,36482000000.0,643256000000.0,133245000000.0,66207000000.0,305867000000.0,17015000000.0,-8004000000.0,,0.5055085535148747,0.11823315153500742,0.1100233190078822,0.24199852002935068,0.435630519147211,0.10930383446716388,-0.07176420078472528,-0.05709094913014755
AMZN,2025-06-30,167702000000.0,86893000000.0,19171000000.0,18164000000.0,36600000000.0,682170000000.0,133939000000.0,57741000000.0,333775000000.0,32515000000.0,332000000.0,,0.5181393185531479,0.11431586981669867,0.10831117100571251,0.24583608191506515,0.4012852969814995,0.19388558275989554,,
GOOGL,2024-03-31,,,,,,,,,,,,,,,,,,,,
GOOGL,2024-06-30,84742000000.0,49235000000.0,27425000000.0,23619000000.0,31326000000.0,414770000000.0,27801000000.0,27225000000.0,300753000000.0,26640000000.0,13454000000.0,,0.5809987963465578,0.32362936914399,0.2787165750159307,0.20431082286568458,0.092437980668522,0.3143659578485285,-0.039946526487515295,-0.10197330899965781
GOOGL,2024-09-30,88268000000.0,51794000000.0,28521000000.0,26301000000.0,35745000000.0,430266000000.0,26922000000.0,19959000000.0,314119000000.0,30698000000.0,17637000000.0,,0.5867811664476368,0.3231182308424344,0.2979675533602211,0.20514751339868825,0.08570637242573674,0.3477817555626048,-0.08501176543760172,-0.00885589388001206
GOOGL,2024-12-31,96469000000.0,55856000000.0,30972000000.0,26536000000.0,36501000000.0,450256000000.0,25461000000.0,23466000000.0,325084000000.0,39113000000.0,24837000000.0,,0.5790046543449191,0.3210565051985612,0.2750728213208388,0.2142536690238442,0.07832129541903016,0.40544630917704133,0.06909812265886472,-0.2317313259988419
GOOGL,2025-03-31,90234000000.0,53873000000.0,30606000000.0,34540000000.0,46310000000.0,475374000000.0,23564000000.0,23264000000.0,345267000000.0,36150000000.0,18953000000.0,,0.5970365937451515,0.3391847862224882,0.38278254316554733,0.18981685998813566,0.06824863076981003,0.4006250415586143,-0.06423445472269465,0.22499645339764507
GOOGL,2025-06-30,96428000000.0,57389000000.0,31271000000.0,28196000000.0,39192000000.0,502053000000.0,35559000000.0,21036000000.0,362916000000.0,27747000000.0,5301000000.0,,0.5951487119923674,0.3242937735927324,0.2924046957315303,0.1920673713731419,0.09798135105644282,0.28774837184220353,,
