publishedAt,text,ticker,sentiment_score
2025-08-12 17:00:00+00:00,"Evertune Raises $15 Million Series A to Scale Its AI Marketing and Discovery Platform. A leader in Generative Engine Optimization (GEO) and brand building for AI Search, Evertune will use the funding to accelerate the development of its enterprise-grade AI marketing suiteNEW YORK, Aug. 12, 2025 (GLOBE NEWSWIRE) -- Evertune, a leading Generative Engine Optimization (GEO) and AI marketing platform, today announced its $15M Series A funding, led by Felicis Ventures with participation from strategic AI and marketing angel investors including Sarfraz Maredia (Uber), Jonathan Carson (An",META,0.0
2025-08-12 16:50:00+00:00,"InHand Networks Introduces the CPE02: Powering Business Networks with High-Speed Connectivity and Smart Management. High-speed 5G, Wi-Fi 6, intelligent failover, and cloud management - now certified for seamless use on leading U.S. networks. CHANTILLY, VA / ACCESS Newswire / August 12, 2025 / InHand Networks is excited to unveil theCPE02 , a 5G router designed ...",QCOM,0.0
2025-08-12 16:49:00+00:00,"Evergreen Digital Media Claims Third Inc. 5000 Accolade, Cementing Its Role as a Trailblazer in the Retail Media Industry. Inc. revealed today that NTV360, the flagship franchise of Evergreen Digital Media Corp. (EDM), has secured a coveted position on the 2025 Inc. 5000, the authoritative benchmark for America's most agile and high-growth private enterprises. This elite roster chronicles the entrepreneurial vanguard reshaping industries, boasting alumni such as Microsoft, Meta, Chobani, Under Armour, Timberland, Oracle, and Patagonia.",META,0.0
2025-08-12 16:49:00+00:00,"Evergreen Digital Media Claims Third Inc. 5000 Accolade, Cementing Its Role as a Trailblazer in the Retail Media Industry. Inc. revealed today that NTV360, the flagship franchise of Evergreen Digital Media Corp. (EDM), has secured a coveted position on the 2025 Inc. 5000, the authoritative benchmark for America's most agile and high-growth private enterprises. This elite roster chronicles the entrepreneurial vanguard reshaping industries, boasting alumni such as Microsoft, Meta, Chobani, Under Armour, Timberland, Oracle, and Patagonia.",MSFT,0.0
2025-08-12 16:42:12+00:00,"Update: Market Chatter: Alphabet's Google Gets $34.5 Billion Purchase Offer From Perplexity for Chrome Browser Amid Antitrust Case. (Updates with additional details in the third, fourth, and fifth paragraphs.) Alphabet's (GOOG) G",GOOGL,0.2
2025-08-12 16:41:38+00:00,Perplexity Offers To Buy Google's Chrome Browser Amid DoJ Antitrust Case. Google stock rose amid reports AI startup Perplexity has offered to purchase Chrome amid an ongoing antitrust case versus Alphabet.,GOOGL,0.0
2025-08-12 16:39:06+00:00,"Rebecca Tinucci named CEO of Uber Freight. Uber Freight appoints Rebecca Tinucci as CEO, succeeding Lior Ron. The post Rebecca Tinucci named CEO of Uber Freight appeared first on FreightWaves.",TSLA,0.0
2025-08-12 16:35:30+00:00,"Trump rebukes Goldman's Solomon and bank's economics research on tariff impact. ""It has been shown that for the most part, consumers aren't even paying these tariffs, it is mostly companies and governments, many of them foreign picking up the tabs,"" Trump wrote in a post on social media platform Truth Social.  ""But David Solomon and Goldman Sachs refuse to give credit where credit is due.""",INTC,0.0
2025-08-12 16:31:00+00:00,"Healthcare Activation Company, Pyx Health, Ranks No. 661 on the 2025 Inc. 5000 List of America’s Fastest-Growing Private Companies. NEW YORK, August 12, 2025--In its annual list of the fastest growing private companies in America, leading media brand Inc. today revealed that Pyx Health has ranked number 661, denoting its fourth consecutive appearance on the Inc. 5000. The prestigious list is a data driven snapshot of the companies experiencing the most success in today’s economy, with giants like Microsoft, Meta, Chobani, Under Armour, Timberland, and more previously earning a coveted spot.",META,0.0
2025-08-12 16:31:00+00:00,"Healthcare Activation Company, Pyx Health, Ranks No. 661 on the 2025 Inc. 5000 List of America’s Fastest-Growing Private Companies. NEW YORK, August 12, 2025--In its annual list of the fastest growing private companies in America, leading media brand Inc. today revealed that Pyx Health has ranked number 661, denoting its fourth consecutive appearance on the Inc. 5000. The prestigious list is a data driven snapshot of the companies experiencing the most success in today’s economy, with giants like Microsoft, Meta, Chobani, Under Armour, Timberland, and more previously earning a coveted spot.",MSFT,0.0
