Date,Ticker,Open,High,Low,Close,Volume
2022-01-01,AAPL,93.98,95.64,93.12,94.3,2972489
2022-01-02,AAPL,94.23,94.23,90.72,92.0,2707604
2022-01-03,AAPL,92.05,95.48,92.05,94.63,3330270
2022-01-04,AAPL,94.15,94.15,93.52,93.65,2892792
2022-01-05,AAPL,93.36,94.16,90.59,93.51,4983737
2022-01-06,AAPL,92.86,92.86,89.18,89.89,2562633
2022-01-07,AAPL,89.84,91.7,89.84,91.19,2266362
2022-01-08,AAPL,91.23,91.23,90.28,90.43,4817600
2022-01-09,AAPL,91.19,91.19,89.39,89.67,3312681
2022-01-10,AAPL,90.63,90.63,89.36,89.88,5372188
2022-01-11,AAPL,89.96,91.4,89.96,90.88,1742908
2022-01-12,AAPL,91.65,91.74,91.61,91.71,3082187
2022-01-13,AAPL,91.94,92.45,87.86,91.43,6236635
2022-01-14,AAPL,91.88,96.22,91.88,95.27,1643686
2022-01-15,AAPL,95.68,95.68,93.89,94.19,2734241
2022-01-16,AAPL,94.37,94.47,94.29,94.43,4913026
2022-01-17,AAPL,94.84,95.8,93.56,94.09,5791908
2022-01-18,AAPL,94.67,94.67,92.11,92.18,4253999
2022-01-19,AAPL,91.82,93.31,89.41,92.32,3402305
2022-01-20,AAPL,92.04,92.04,86.23,87.7,5694146
2022-01-21,AAPL,88.15,88.15,85.59,86.0,1960614
2022-01-22,AAPL,86.45,88.13,86.45,87.8,2555715
2022-01-23,AAPL,87.44,87.44,86.19,86.67,3416297
2022-01-24,AAPL,86.55,86.61,85.48,86.25,3087665
2022-01-25,AAPL,86.25,89.26,85.9,87.44,1639362
2022-01-26,AAPL,87.28,87.28,85.01,85.33,1802928
2022-01-27,AAPL,85.6,87.36,85.6,86.84,3818354
2022-01-28,AAPL,86.85,87.88,86.85,87.46,1172936
2022-01-29,AAPL,87.22,89.6,87.22,88.1,5638392
2022-01-30,AAPL,88.43,88.43,86.49,86.67,2142578
2022-01-31,AAPL,87.15,87.63,83.91,86.29,2704476
2022-02-01,AAPL,85.84,92.11,85.84,88.97,3364785
2022-02-02,AAPL,88.28,93.08,88.28,92.9,2552468
2022-02-03,AAPL,92.97,92.97,90.27,90.64,1593270
2022-02-04,AAPL,91.42,91.42,88.91,90.23,1925001
2022-02-05,AAPL,91.02,91.02,88.6,88.73,2649460
2022-02-06,AAPL,88.96,88.96,88.02,88.21,2071604
2022-02-07,AAPL,87.67,87.96,87.08,87.32,5693333
2022-02-08,AAPL,87.19,89.31,87.19,88.58,2184676
2022-02-09,AAPL,88.06,91.61,88.06,90.48,4024985
2022-02-10,AAPL,91.49,91.49,88.57,89.23,4586732
2022-02-11,AAPL,89.12,91.66,89.12,90.95,5322845
2022-02-12,AAPL,90.8,92.04,90.8,91.92,3649707
2022-02-13,AAPL,91.51,93.17,91.51,92.65,5496112
2022-02-14,AAPL,92.06,92.23,89.72,90.92,5149049
2022-02-15,AAPL,90.89,94.88,90.67,93.02,5126266
2022-02-16,AAPL,92.98,92.98,89.57,90.66,4405278
2022-02-17,AAPL,91.33,91.79,91.33,91.75,3833482
2022-02-18,AAPL,92.17,93.26,91.05,92.23,4794928
2022-02-19,AAPL,92.82,92.82,90.25,90.52,1996334
2022-02-20,AAPL,90.46,91.67,90.46,91.61,4138921
2022-02-21,AAPL,91.83,92.61,91.83,92.49,3934532
2022-02-22,AAPL,92.61,94.34,91.29,92.92,4248131
2022-02-23,AAPL,92.84,95.81,92.84,95.8,2915576
2022-02-24,AAPL,96.01,96.7,95.04,96.17,2651241
2022-02-25,AAPL,96.41,98.11,96.2,97.36,1239262
2022-02-26,AAPL,97.55,99.84,97.55,99.57,3484851
2022-02-27,AAPL,99.96,99.96,97.89,98.12,3645950
2022-02-28,AAPL,99.37,99.37,92.83,94.64,1732476
2022-03-01,AAPL,95.11,95.11,91.2,92.07,2421784
2022-03-02,AAPL,92.97,92.97,88.78,88.99,4607161
2022-03-03,AAPL,89.57,90.22,86.83,88.69,4760451
2022-03-04,AAPL,89.26,89.26,85.52,86.81,2620306
2022-03-05,AAPL,86.93,86.93,84.88,85.41,4368252
2022-03-06,AAPL,85.74,85.74,83.34,84.09,6055428
2022-03-07,AAPL,84.25,84.25,81.63,81.8,2347792
2022-03-08,AAPL,81.61,83.15,81.61,82.46,2659732
2022-03-09,AAPL,81.92,84.18,81.92,83.2,5559709
2022-03-10,AAPL,82.89,86.46,82.89,84.24,5507861
2022-03-11,AAPL,84.83,87.5,84.83,86.85,1718825
2022-03-12,AAPL,87.08,89.09,87.08,88.67,3321323
2022-03-13,AAPL,88.05,89.65,88.05,89.58,5164357
2022-03-14,AAPL,90.23,90.23,88.43,88.84,3749180
2022-03-15,AAPL,88.88,88.88,87.95,87.99,1317732
2022-03-16,AAPL,87.7,88.86,87.4,87.92,2049177
2022-03-17,AAPL,87.52,87.52,85.09,85.67,2402635
2022-03-18,AAPL,85.08,85.73,84.96,85.06,5347021
2022-03-19,AAPL,85.26,86.76,84.17,85.91,4975664
2022-03-20,AAPL,86.09,87.86,86.09,87.66,5692312
2022-03-21,AAPL,88.2,89.42,88.2,89.01,3702379
2022-03-22,AAPL,89.14,91.56,84.8,88.62,3579911
2022-03-23,AAPL,88.69,88.69,83.56,84.37,2362059
2022-03-24,AAPL,84.18,86.55,84.18,85.98,2503486
2022-03-25,AAPL,86.21,86.21,85.03,85.14,1920287
2022-03-26,AAPL,85.48,85.48,84.84,84.93,4370536
2022-03-27,AAPL,85.04,85.92,83.96,84.85,1940802
2022-03-28,AAPL,85.07,86.96,85.07,86.04,5561922
2022-03-29,AAPL,86.14,87.91,85.81,87.06,2833458
2022-03-30,AAPL,87.86,87.86,83.73,84.77,2420359
2022-03-31,AAPL,84.58,84.58,83.19,83.71,3311129
2022-04-01,AAPL,84.18,84.18,82.59,82.96,4155923
2022-04-02,AAPL,82.78,83.5,81.36,82.32,3490681
2022-04-03,AAPL,82.03,82.03,79.23,80.35,4118365
2022-04-04,AAPL,79.72,82.43,79.72,82.38,2164012
2022-04-05,AAPL,82.64,82.64,79.83,80.48,1793197
2022-04-06,AAPL,80.49,80.92,79.15,79.76,5106125
2022-04-07,AAPL,80.08,80.08,76.65,78.2,3476860
2022-04-08,AAPL,79.17,81.92,79.17,81.75,4469512
2022-04-09,AAPL,81.9,82.51,81.68,82.03,5049373
2022-04-10,AAPL,81.34,82.46,81.01,81.61,6010781
2022-04-11,AAPL,82.07,82.07,78.81,79.7,3919719
2022-04-12,AAPL,79.45,82.28,79.45,80.64,1918795
2022-04-13,AAPL,80.46,80.46,76.35,77.85,4859333
2022-04-14,AAPL,77.76,77.76,75.73,75.82,2260656
2022-04-15,AAPL,75.58,75.58,74.06,74.61,4480592
2022-04-16,AAPL,75.05,77.13,74.72,76.17,4380898
2022-04-17,AAPL,76.96,77.85,76.96,77.68,3194362
2022-04-18,AAPL,76.97,78.41,76.97,78.4,4320733
2022-04-19,AAPL,78.47,78.82,78.47,78.72,2301076
2022-04-20,AAPL,78.39,78.69,78.39,78.64,3737984
2022-04-21,AAPL,78.5,80.0,78.25,78.42,3262667
2022-04-22,AAPL,78.0,78.0,74.5,76.13,5071525
2022-04-23,AAPL,76.38,76.38,73.96,73.98,2226898
2022-04-24,AAPL,74.13,74.66,73.06,74.0,2319381
2022-04-25,AAPL,73.85,76.16,73.85,75.46,3057252
2022-04-26,AAPL,75.2,76.78,75.2,76.53,1640797
2022-04-27,AAPL,76.09,76.89,73.65,76.05,5097302
2022-04-28,AAPL,75.58,75.58,73.09,73.37,1690597
2022-04-29,AAPL,73.44,73.78,73.44,73.76,3156290
2022-04-30,AAPL,73.33,74.25,73.33,74.22,3742165
2022-05-01,AAPL,73.79,74.22,72.64,74.21,3343032
2022-05-02,AAPL,74.13,76.4,74.13,75.73,5400296
2022-05-03,AAPL,75.71,77.2,75.71,76.75,3514210
